vehicle_id,trip_start_date,date_updated,position_longitude,trip_schedule_relationship,position_speed,vehicle_current_status,trip_route_id,position_odometer,vehicle_label,trip_id,position_latitude,geographic_point
475,20200428,2020-05-19 18:00:04,-99.14189910888672,0,8,1,241,0,517,9755146,19.430400848388672,"19.4304008484,-99.1418991089"
483,20200428,2020-05-19 18:00:04,-99.12139892578125,0,0,1,241,0,525,9755507,19.436100006103516,"19.4361000061,-99.1213989258"
484,20200428,2020-05-19 18:00:04,-99.13690185546875,0,10,2,241,237,526,9755532,19.438100814819336,"19.4381008148,-99.1369018555"
486,20200428,2020-05-19 18:00:04,-99.1321029663086,0,6,1,241,0,528,9755730,19.429000854492188,"19.4290008545,-99.1321029663"
501,20200428,2020-05-19 18:00:04,-99.11540222167969,0,0,2,241,556,543,9755485,19.430999755859375,"19.4309997559,-99.1154022217"
502,20200428,2020-05-19 18:00:04,-99.1531982421875,0,4,2,241,0,544,9755558,19.438800811767578,"19.4388008118,-99.1531982422"
504,20200428,2020-05-19 18:00:04,-99.15239715576172,0,4,2,241,70,546,9755580,19.44420051574707,"19.4442005157,-99.1523971558"
505,20200428,2020-05-19 18:00:04,-99.12999725341797,0,6,1,241,0,547,9755115,19.42609977722168,"19.4260997772,-99.1299972534"
512,20200428,2020-05-19 18:00:04,-99.1155014038086,0,0,1,241,0,554,9755460,19.430700302124023,"19.4307003021,-99.1155014038"
544,20200428,2020-05-19 18:00:04,-99.11219787597656,0,5,1,161,0,601,9679133,19.444700241088867,"19.4447002411,-99.112197876"
557,,2020-05-19 18:00:04,-99.11430358886719,2,11,2,,1015,614,,19.429100036621094,"19.4291000366,-99.1143035889"
559,20200428,2020-05-19 18:00:04,-99.08599853515625,0,0,1,161,0,616,9679388,19.507200241088867,"19.5072002411,-99.0859985352"
561,20200428,2020-05-19 18:00:04,-99.08570098876953,0,0,2,161,762,618,9679435,19.506900787353516,"19.5069007874,-99.0857009888"
1075,,2020-05-19 18:00:04,-99.19609832763672,2,0,1,,122,702,,19.51180076599121,"19.511800766,-99.1960983276"
1084,20200428,2020-05-19 18:00:04,-99.16780090332031,0,13,2,61,217,711,9740759,19.49810028076172,"19.4981002808,-99.1678009033"
1089,20200428,2020-05-19 18:00:04,-99.16459655761719,0,0,2,61,487,716,9740871,19.497499465942383,"19.4974994659,-99.1645965576"
1100,20200428,2020-05-19 18:00:04,-99.17859649658203,0,8,2,61,0,727,9740267,19.502300262451172,"19.5023002625,-99.1785964966"
1181,20200428,2020-05-19 18:00:04,-99.12830352783203,0,5,2,61,0,732,9741103,19.488800048828125,"19.4888000488,-99.1283035278"
1184,,2020-05-19 18:00:04,-99.08529663085938,2,12,2,61,503,735,,19.46929931640625,"19.4692993164,-99.0852966309"
1117,20200428,2020-05-19 18:00:04,-99.15339660644531,0,8,2,61,563,764,9740103,19.49489974975586,"19.4948997498,-99.1533966064"
1120,20200428,2020-05-19 18:00:04,-99.13310241699219,0,1,2,61,0,767,9741043,19.490699768066406,"19.4906997681,-99.133102417"
1126,20200428,2020-05-19 18:00:04,-99.11190032958984,0,6,2,61,0,773,9739879,19.483800888061523,"19.4838008881,-99.1119003296"
1135,20200428,2020-05-19 18:00:04,-103.48899841308594,0,0,2,61,0,787,9739295,0.0,"0.0,-103.488998413"
1141,20200428,2020-05-19 18:00:04,-99.19840240478516,0,6,2,61,137,793,9740595,19.51110076904297,"19.511100769,-99.1984024048"
701,20200428,2020-05-19 18:00:04,-99.12339782714844,0,8,1,171,0,801,9672458,19.47249984741211,"19.4724998474,-99.1233978271"
713,20200428,2020-05-19 18:00:04,-99.13020324707031,0,8,2,171,223,813,9673662,19.454599380493164,"19.4545993805,-99.1302032471"
716,20200428,2020-05-19 18:00:04,-99.19309997558594,0,3,2,171,643,816,9670725,19.425800323486328,"19.4258003235,-99.1930999756"
728,20200428,2020-05-19 18:00:04,-99.17050170898438,0,11,1,171,0,828,9671558,19.42569923400879,"19.425699234,-99.170501709"
753,20200428,2020-05-19 18:00:04,-99.13079833984375,0,5,2,171,0,905,9672098,19.453399658203125,"19.4533996582,-99.1307983398"
757,20200428,2020-05-19 18:00:04,-99.12840270996094,0,0,2,171,181,909,9673542,19.459299087524414,"19.4592990875,-99.12840271"
771,20200428,2020-05-19 18:00:04,-99.12120056152344,0,0,1,171,0,923,9673280,19.478500366210938,"19.4785003662,-99.1212005615"
